,price,proc_cores,proc_speed,mem_cap,storage_cap,ssd,integrated,nvidia,ssdcap,corespeed**2,ddr4,ssdddr4,nvidia_ssd
0,930,6.0,3.2,16.0,2048.0,0,0,1,0.0,368.64000000000016,1,0,0
1,1050,6.0,3.2,16.0,2048.0,0,0,1,0.0,368.64000000000016,1,0,0
2,379,2.0,3.6,4.0,1024.0,0,1,0,0.0,51.84,1,0,0
3,674,4.0,3.1,8.0,256.0,1,1,0,256.0,153.76000000000005,1,1,0
4,823,6.0,3.1,16.0,1024.0,0,1,0,0.0,345.9600000000001,1,0,0
5,631,6.0,3.1,4.0,1024.0,0,1,0,0.0,345.9600000000001,1,0,0
6,1293,4.0,3.1,32.0,1024.0,0,0,1,0.0,153.76000000000005,0,0,0
7,674,4.0,3.1,8.0,1024.0,0,1,0,0.0,153.76000000000005,1,0,0
8,793,6.0,3.1,16.0,1024.0,0,0,1,0.0,345.9600000000001,1,0,0
9,823,6.0,3.1,16.0,1024.0,0,0,1,0.0,345.9600000000001,1,0,0
10,312,4.0,3.1,8.0,1024.0,0,1,0,0.0,153.76000000000005,1,0,0
11,792,6.0,3.1,8.0,1024.0,0,1,0,0.0,345.9600000000001,1,0,0
12,904,4.0,3.1,16.0,1024.0,0,1,0,0.0,153.76000000000005,1,0,0
13,812,6.0,3.1,8.0,1024.0,0,1,0,0.0,345.9600000000001,1,0,0
14,510,6.0,3.1,12.0,1024.0,0,0,1,0.0,345.9600000000001,1,0,0
15,743,6.0,3.1,16.0,1024.0,0,1,0,0.0,345.9600000000001,1,0,0
16,399,4.0,3.1,8.0,1024.0,0,0,1,0.0,153.76000000000005,1,0,0
17,530,4.0,3.1,8.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
18,439,4.0,3.1,8.0,1024.0,0,0,1,0.0,153.76000000000005,1,0,0
19,549,6.0,3.1,8.0,1024.0,0,1,0,0.0,345.9600000000001,1,0,0
20,752,6.0,3.1,8.0,1024.0,0,1,0,0.0,345.9600000000001,1,0,0
21,630,4.0,3.1,8.0,1024.0,0,1,0,0.0,153.76000000000005,1,0,0
22,361,2.0,3.1,4.0,1024.0,0,1,0,0.0,38.44000000000001,1,0,0
23,101,2.0,3.6,4.0,500.0,0,1,0,0.0,51.84,0,0,0
24,105,4.0,3.1,4.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
25,114,2.0,3.1,4.0,250.0,0,1,0,0.0,38.44000000000001,0,0,0
26,489,4.0,2.3,4.0,500.0,0,1,0,0.0,84.63999999999999,1,0,0
27,561,6.0,2.1,8.0,16.0,1,1,0,16.0,158.76000000000005,0,0,0
28,123,2.0,3.1,4.0,250.0,0,1,0,0.0,38.44000000000001,0,0,0
29,250,4.0,2.9,4.0,500.0,0,1,0,0.0,134.56,0,0,0
