,price,proc_cores,proc_speed,mem_type,mem_cap,num_USB,storage_type,storage_cap,graphics,form,brand
120,339,4.0,3.2,ddr3,8.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
121,251,4.0,3.3,ddr3,4.0,8.0,hdd,500.0,INTEGRATED,SMALL,LENOVO
122,306,4.0,3.3,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,LENOVO
123,279,4.0,3.1,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,TOWER,DELL
124,273,4.0,3.2,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
126,273,4.0,3.0,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
127,1149,4.0,3.0,ddr4,16.0,8.0,ssd,512.0,INTEGRATED,TOWER,HP
128,549,2.0,3.1,ddr4,4.0,4.0,hdd,500.0,INTEGRATED,SMALL,HP
129,669,4.0,2.1,ddr4,8.0,4.0,hdd,1024.0,INTEGRATED,SMALL,HP
130,1079,6.0,3.2,ddr4,8.0,8.0,ssd,256.0,INTEGRATED,SMALL,HP
132,720,4.0,3.0,ddr4,4.0,3.0,hdd,500.0,INTEGRATED,SMALL,HP
133,662,2.0,3.6,ddr4,4.0,8.0,hdd,500.0,INTEGRATED,TOWER,HP
134,529,2.0,3.6,ddr4,4.0,4.0,hdd,500.0,INTEGRATED,SMALL,HP
135,1087,6.0,2.4,ddr4,16.0,8.0,ssd,512.0,INTEGRATED,SMALL,HP
136,949,6.0,3.2,ddr4,8.0,3.0,ssd,256.0,INTEGRATED,SMALL,HP
137,614,4.0,2.1,ddr4,4.0,4.0,hdd,500.0,INTEGRATED,SMALL,HP
138,608,4.0,2.1,ddr4,4.0,4.0,hdd,500.0,INTEGRATED,SMALL,HP
139,1999,4.0,3.2,ddr4,16.0,8.0,ssd,256.0,INTEGRATED,SMALL,HP
140,711,4.0,2.1,ddr4,4.0,3.0,hdd,500.0,INTEGRATED,SMALL,HP
141,629,2.0,3.6,ddr4,4.0,3.0,hdd,500.0,INTEGRATED,SMALL,HP
142,919,4.0,3.0,ddr4,8.0,3.0,ssd,512.0,INTEGRATED,SMALL,HP
154,287,4.0,3.1,ddr3,8.0,4.0,hdd,2048.0,INTEGRATED,SMALL,HP
155,391,4.0,3.1,ddr3,8.0,4.0,hdd,1024.0,INTEGRATED,TOWER,DELL
156,334,4.0,3.1,ddr3,4.0,4.0,hdd,250.0,INTEGRATED,SMALL,HP
157,380,4.0,3.1,ddr3,8.0,4.0,ssd,240.0,INTEGRATED,TOWER,DELL
158,316,4.0,3.1,ddr3,4.0,4.0,hdd,250.0,INTEGRATED,SMALL,DELL
159,337,4.0,3.1,ddr3,8.0,4.0,ssd,360.0,INTEGRATED,SMALL,HP
160,332,4.0,3.1,ddr3,8.0,4.0,ssd,360.0,INTEGRATED,SMALL,DELL
161,384,4.0,3.1,ddr3,16.0,4.0,ssd,120.0,INTEGRATED,SMALL,HP
162,391,4.0,3.1,ddr3,8.0,4.0,hdd,1024.0,INTEGRATED,SMALL,HP
163,374,4.0,3.1,ddr3,4.0,4.0,hdd,2048.0,INTEGRATED,TOWER,DELL
164,368,4.0,3.1,ddr3,4.0,4.0,hdd,1024.0,INTEGRATED,TOWER,DELL
165,368,4.0,3.1,ddr3,4.0,4.0,hdd,1024.0,INTEGRATED,TOWER,DELL
166,297,4.0,3.1,ddr3,8.0,4.0,hdd,500.0,INTEGRATED,SMALL,HP
167,368,4.0,3.1,ddr3,8.0,4.0,ssd,240.0,INTEGRATED,SMALL,HP
168,429,4.0,3.1,ddr3,12.0,4.0,ssd,512.0,INTEGRATED,SMALL,HP
169,373,4.0,3.1,ddr3,4.0,4.0,hdd,2048.0,INTEGRATED,SMALL,HP
170,366,4.0,3.1,ddr3,12.0,4.0,ssd,2048.0,INTEGRATED,SMALL,HP
171,344,4.0,3.1,ddr3,4.0,4.0,hdd,1024.0,INTEGRATED,SMALL,DELL
172,374,4.0,3.1,ddr3,4.0,4.0,hdd,2048.0,INTEGRATED,TOWER,DELL
173,311,4.0,3.1,ddr3,8.0,4.0,ssd,120.0,INTEGRATED,SMALL,HP
174,309,4.0,3.1,ddr3,8.0,4.0,hdd,500.0,INTEGRATED,TOWER,DELL
175,409,4.0,3.1,ddr3,16.0,4.0,hdd,3072.0,INTEGRATED,TOWER,DELL
176,432,4.0,3.1,ddr3,16.0,4.0,ssd,3072.0,INTEGRATED,SMALL,HP
